Row,Year,United States,Northeast,Midwest,South,West
1973,1973,1660,1595,1615,1670,1715
1974,1974,1695,1600,1660,1760,1660
1975,1975,1645,1575,1580,1705,1635
1976,1976,1700,1630,1655,1755,1685
1977,1977,1720,1650,1650,1770,1730
1978,1978,1755,1730,1730,1785,1740
1979,1979,1760,1795,1720,1795,1730
1980,1980,1740,1770,1685,1750,1735
1981,1981,1720,1805,1670,1715,1735
1982,1982,1710,1755,1655,1700,1740
1983,1983,1725,1795,1735,1720,1695
1984,1984,1780,1860,1800,1750,1785
1985,1985,1785,1830,1820,1765,1770
1986,1986,1825,1850,1855,1825,1800
1987,1987,1905,1955,1890,1915,1870
1988,1988,1995,2005,2015,1985,1995
1989,1989,2035,2075,1970,2030,2065
1990,1990,2080,2105,2005,2055,2160
1991,1991,2075,2105,1990,2065,2155
1992,1992,2095,2115,2020,2130,2090
1993,1993,2095,2160,2025,2150,2050
1994,1994,2100,2195,2025,2165,2025
1995,1995,2095,2240,2020,2125,2045
1996,1996,2120,2280,2025,2160,2070
1997,1997,2150,2265,2065,2175,2135
1998,1998,2190,2270,2125,2200,2200
1999,1999,2223,2298,2135,2244,2234
2000,2000,2266,2435,2170,2287,2244
2001,2001,2324,2466,2209,2351,2317
2002,2002,2320,2516,2209,2317,2350
2003,2003,2330,2443,2198,2335,2387
2004,2004,2349,2543,2222,2368,2352
2005,2005,2434,2556,2310,2463,2434
2006,2006,2469,2612,2290,2499,2488
2007,2007,2521,2550,2328,2573,2524
2008,2008,2519,2651,2331,2564,2508
2009,2009,2438,2594,2216,2488,2434
2010,2010,2392,2613,2265,2393,2386
2011,2011,2480,2559,2287,2538,2457
2012,2012,2505,2582,2341,2549,2502
2013,2013,2598,2636,2398,2689,2524
